// cmdid = message (HSR-OWNER); real name where known, // obf: original
4 = GetLevelRewardTakenListScRsp  // obf: GPONDAHEKJN
4264 = ChooseBoxingClubStageOptionalBuffScRsp  // obf: BGEKHPCNAKF
4268 = ChooseBoxingClubStageOptionalBuffCsReq  // obf: EOAAIPIBNGM
4275 = MatchBoxingClubOpponentScRsp  // obf: CCIBPGAFJFF
4283 = BoxingClubRewardScNotify  // obf: FHNOLIMEEOM
4304 = MuseumRandomEventSelectScRsp  // obf: MGPKJCKKCBI
4305 = BuyNpcStuffCsReq  // obf: FOOHBPABPNO
4307 = SyncMuseumTargetMissionFinishNotify  // obf: LICMNPOKCMB
4308 = UpgradeAreaScRsp  // obf: EIBGMKIJNDK
4311 = SyncMuseumRandomEventStartScNotify  // obf: HIEMNHKDOJE
4312 = SyncMuseumFundsChangedScNotify  // obf: OPLMCLODKAJ
4315 = SyncGetExhibitScNotify  // obf: FEDOFFJODEM
4316 = SetStuffToAreaScRsp  // obf: JCKHEKIFHLO
4317 = MuseumRandomEventQueryCsReq  // obf: BKCPHOMPACI
4321 = SyncMuseumInfoChangedScNotify  // obf: EJLFOBMAPEJ
4325 = GetMuseumInfoScRsp  // obf: IKADIECNGND
4334 = GetMuseumInfoCsReq  // obf: NNKJBOKLHAF
4338 = MuseumRandomEventQueryScRsp  // obf: PJKFNOJHHHJ
4339 = FinishCurTurnScRsp  // obf: CHIBEKJIAMC
4342 = FinishCurTurnCsReq  // obf: HFIFAFEEAHI
4351 = TakeCollectRewardCsReq  // obf: CHMJIHDLDEB
4356 = RemoveStuffFromAreaScRsp  // obf: CHCPOJDPPJL
4358 = RemoveStuffFromAreaCsReq  // obf: IMAAMKJIHNO
4360 = SetStuffToAreaCsReq  // obf: HIJBMFLHGEL
4361 = UpgradeAreaCsReq  // obf: DOIJKIKLBEG
4364 = UpgradeAreaStatScRsp  // obf: EAINGAEAJIN
4368 = UpgradeAreaStatCsReq  // obf: AIENHIHMJDP
4375 = BuyNpcStuffScRsp  // obf: BBNNCAIJLKL
4378 = MuseumRandomEventSelectCsReq  // obf: MLBLCNIPBFG
4381 = SyncMuseumTargetRewardNotify  // obf: BDDMKOIHCPK
4383 = SyncGetStuffScNotify  // obf: GGILOAPIPBF
4385 = SyncMuseumTargetStartNotify  // obf: AGFENBLCABB
4393 = TakeCollectRewardRsp  // obf: JDMPHALCCKE
4404 = QuitTreasureDungeonCsReq  // obf: OMKAKFPOGDA
4408 = EnterTreasureDungeonScRsp  // obf: FKHNMKLEMPL
4411 = InteractTreasureDungeonGridCsReq  // obf: BLLCDNDBMFC
4412 = FightTreasureDungeonMonsterScRsp  // obf: GAKDIMFCIIL
4417 = InteractTreasureDungeonGridScRsp  // obf: PBIACLDGHLJ
4419 = QuitTreasureDungeonScRsp  // obf: PNOEINCJCLO
4421 = FightTreasureDungeonMonsterCsReq  // obf: LPKMOEFJGGC
4425 = TreasureDungeonFinishScNotify  // obf: KENIHFGIDEO
4434 = TreasureDungeonDataScNotify  // obf: OLJMFHFEBAI
4438 = UseTreasureDungeonItemCsReq  // obf: GPDIOLFJBDA
4439 = GetTreasureDungeonActivityDataScRsp  // obf: MHMEJAECMMA
4442 = GetTreasureDungeonActivityDataCsReq  // obf: MBDAPMIPEON
4461 = EnterTreasureDungeonCsReq  // obf: KBCNABANJLF
4464 = OpenTreasureDungeonGridScRsp  // obf: EICJHGLMLIK
4468 = OpenTreasureDungeonGridCsReq  // obf: DNOLOCILBDG
4478 = UseTreasureDungeonItemScRsp  // obf: CAEINBAOLLG
4504 = KFFEEDHEOOH
4505 = PlayerReturnSignScRsp  // obf: INPJIEHGCEG
4508 = PlayerReturnTakeExtraHcoinScNotify  // obf: GPDJDMFMBCN
4511 = TakeReturnExtraHcoinRewardCsReq  // obf: IDFEIJGOFBL
4515 = DressRelicAvatarScRsp  // obf: EBCEGDPGHLE
4516 = PlayerReturnTakePointRewardScRsp  // obf: CEAFINHNEBL
4517 = TakeReturnExtraHcoinRewardScRsp  // obf: FPKDOKMHBKN
4525 = PlayerReturnSignCsReq  // obf: LAJDMCJIBOP
4534 = PlayerReturnStartScNotify  // obf: FEIHGOEPANI
4538 = PlayerReturnExtraHcoinProgressScNotify  // obf: LODKEPFLBKK
4539 = PlayerReturnTakeRelicCsReq  // obf: OABAALAHIIA
4542 = PlayerReturnForceFinishScNotify  // obf: CCKNNFODOMO
4556 = PlayerReturnTakeRewardScRsp  // obf: MBCOHBBDJAA
4558 = PlayerReturnTakeRewardCsReq  // obf: KIKINEEIMFM
4560 = PlayerReturnTakePointRewardCsReq  // obf: KFBDGDKFPJO
4561 = PlayerReturnTakeRelicScRsp  // obf: FFEKPEKHAPC
4564 = PlayerReturnTakeCustomRelicScRsp  // obf: FODMCAGKAIO
4568 = PlayerReturnTakeCustomRelicCsReq  // obf: HPKIKIEFALC
4575 = PlayerReturnPointChangeScNotify  // obf: FPKPLOPKPBG
4578 = CEINLELLFLF
4583 = PlayerReturnInfoQueryCsReq  // obf: PHGMHBGDPFG
4605 = MultipleDropInfoScNotify  // obf: DHGOJJOGOKL
4616 = MultipleDropInfoNotify  // obf: JDIMGPHOEPL
4625 = GetMultipleDropInfoScRsp  // obf: IPBOFGFMHHC
4634 = GetMultipleDropInfoCsReq  // obf: FKONEIIILGP
4660 = GetPlayerReturnMultiDropInfoScRsp  // obf: NGNBAKJNPID
4675 = GetPlayerReturnMultiDropInfoCsReq  // obf: FNOACGHLHGM
4703 = GetSaveLogisticsMapScRsp  // obf: ABOFBLJPHHE
4704 = AlleyFundsScNotify  // obf: DLEHOPOJKKM
4705 = LogisticsGameCsReq  // obf: CJEFCNKNGNC
4707 = ENOABFIPHOB
4708 = AlleyPlacingGameScRsp  // obf: EGJCAPACHMJ
4711 = AlleyOrderChangedScNotify  // obf: MNPGEDIDKEN
4715 = AlleyEventEffectNotify  // obf: MGMDNBOLBMO
4725 = GetAlleyInfoScRsp  // obf: OAJOMNJMJLE
4730 = ActivityRaidPlacingGameScRsp  // obf: OEEMFNGCOBO
4732 = AlleyTakeEventRewardScRsp  // obf: DBIAIJKONFB
4734 = GetAlleyInfoCsReq  // obf: CPFBHLBMJOG
4738 = PrestigeLevelUpCsReq  // obf: HBNANEIBPBG
4739 = TakePrestigeRewardScRsp  // obf: ODBFGHLOPJD
4740 = LogisticsDetonateStarSkiffScRsp  // obf: NGOKHFLMLNJ
4741 = ActivityRaidPlacingGameCsReq  // obf: FMFAKLOHCHN
4742 = TakePrestigeRewardCsReq  // obf: NIHMFACHENB
4751 = LogisticsInfoScNotify  // obf: LALKCKEAFPE
4756 = StartAlleyEventScRsp  // obf: PPJKEKEPFMF
4758 = StartAlleyEventCsReq  // obf: GIFADCJKKFE
4761 = AlleyPlacingGameCsReq  // obf: DEPIILNKIPE
4773 = GetSaveLogisticsMapCsReq  // obf: LBCBJBKNNCC
4775 = LogisticsGameScRsp  // obf: KBKHHILFFOF
4778 = PrestigeLevelUpScRsp  // obf: MKFGIOCFPJL
4779 = LogisticsScoreRewardSyncInfoScNotify  // obf: PCEJNOKIGOF
4781 = SaveLogisticsScRsp  // obf: GAAMMAACICO
4782 = AlleyTakeEventRewardCsReq  // obf: EJIPDMFGOON
4783 = AlleyEventChangeNotify  // obf: MFBBJPEPDJM
4784 = LogisticsDetonateStarSkiffCsReq  // obf: CKJACADHCCC
4785 = AlleyShipUnlockScNotify  // obf: DPFGBJFOFCE
4793 = AlleyShipmentEventEffectsScNotify  // obf: KLAFHGGFBJD
4802 = TakeOffSkillCoreScRsp  // obf: JCJIEMCKKDP
4805 = GetAetherDivideChallengeInfoScRsp  // obf: MFELEEHGHLA
4806 = EnterAetherDivideSceneScRsp  // obf: DMAMEFJBCLE
4807 = StartAetherDivideStageBattleCsReq  // obf: GIKEONGNHEH
4808 = SetAetherDivideLineUpScRsp  // obf: AAOABMHALOJ
4809 = AetherDivideSkillItemScNotify  // obf: PHINIAKLBLJ
4811 = StartAetherDivideChallengeBattleScRsp  // obf: FAOEGBHJBED
4812 = GetAetherDivideChallengeInfoCsReq  // obf: CADOMBICGJI
4813 = AetherDivideFinishChallengeScNotify  // obf: KMHNCGCPBEF
4814 = GetAetherDivideInfoScRsp  // obf: GHNMFCHEGGK
4815 = AetherDivideTainerInfoScNotify  // obf: DKMBKGCHLNE
4816 = StartAetherDivideChallengeBattleCsReq  // obf: KPNFCKLHLIP
4817 = AetherDivideLineupScNotify  // obf: PMJECJLKNLJ
4818 = SwitchAetherDivideLineUpSlotCsReq  // obf: BNBKEHDGIDK
4819 = StartAetherDivideStageBattleScRsp  // obf: CPAHMLLDHJC
4820 = LeaveAetherDivideSceneCsReq  // obf: BBBODOMFJLC
4821 = AetherDivideSpiritInfoScNotify  // obf: BNFGJMLJDAK
4823 = TakeOffSkillCoreCsReq  // obf: PLAFIBPGBKK
4824 = AetherDivideTakeChallengeRewardScRsp  // obf: FBBKDPMCLFK
4825 = EquipSkillCoreScRsp  // obf: LGOCBAKHGEJ
4828 = AetherDivideTakeChallengeRewardCsReq  // obf: CEDCCCCMOCL
4829 = StartAetherDivideSceneBattleCsReq  // obf: LACNGKFJELH
4831 = LeaveAetherDivideSceneScRsp  // obf: KNADOLOOIMP
4832 = StartAetherDivideSceneBattleScRsp  // obf: MHMOEHAHION
4833 = AetherDivideRefreshEndlessScNotify  // obf: JDMLEOGCCCA
4834 = BGPNJKENONA
4835 = AetherDivideRefreshEndlessCsReq  // obf: GNBCBNCKLHE
4838 = SwitchAetherDivideLineUpSlotScRsp  // obf: OBIOEKFELPL
4839 = AetherDivideSpiritExpUpScRsp  // obf: ELCCBHEBFHO
4840 = SetAetherDivideLineUpCsReq  // obf: OEDAEKHDOOC
4842 = AetherDivideSpiritExpUpCsReq  // obf: HMMMDEEIJKC
4843 = AetherDivideRefreshEndlessScRsp  // obf: PCOAAAFDNAA
4847 = EquipAetherDividePassiveSkillCsReq  // obf: DAKIMICINOH
4848 = GetAetherDivideInfoCsReq  // obf: DFBGKPADOEC
4856 = GetBenefitActivityInfoScRsp  // obf: DJIIJODNAOF
4870 = TakeBenefitActivityRewardCsReq  // obf: FPBHCHBALOC
4879 = JoinBenefitActivityCsReq  // obf: PCJEHOILKDE
4881 = TakeBenefitActivityRewardScRsp  // obf: AMEABJAOBML
4882 = JoinBenefitActivityScRsp  // obf: OMDGBBOHPDF
4884 = GetBenefitActivityInfoCsReq  // obf: BCMJFJHILIB
4905 = FinishChapterScNotify  // obf: EPMJEKOHNME
4916 = FantasticStoryActivityBattleEndScNotify  // obf: NAGIJNLDDEA
4925 = GetFantasticStoryActivityDataScRsp  // obf: MHMLENGPLLD
4934 = GetFantasticStoryActivityDataCsReq  // obf: DEMKDHAODBJ
4960 = EnterFantasticStoryActivityStageScRsp  // obf: HOPLLHBDLBI
4975 = EnterFantasticStoryActivityStageCsReq  // obf: NLIBEBMOKCI
5105 = SelectChatBubbleCsReq  // obf: BPGMIPJINKJ
5115 = SelectPhoneCaseScRsp  // obf: IMOOBICJGGE
5116 = SelectPhoneThemeCsReq  // obf: BJHGBFMIPFN
5125 = GetPhoneDataScRsp  // obf: HNPKMPJPIPC
5134 = GetPhoneDataCsReq  // obf: IJCGOCNMJIN
5142 = UnlockPhoneCaseScNotify  // obf: CIGKGOOHGAG
5156 = UnlockPhoneThemeScNotify  // obf: HMOEGOMDNAA
5158 = SelectPhoneThemeScRsp  // obf: PGNEMAJPKND
5160 = UnlockChatBubbleScNotify  // obf: HCNFKLDECJE
5175 = SelectChatBubbleScRsp  // obf: IEIEEEFKLFA
5183 = SelectPhoneCaseCsReq  // obf: MEGMIKNHDPO
5305 = RogueModifierAddNotify  // obf: PEPPCBMPOJD
5315 = RogueModifierStageStartNotify  // obf: KGNPGIKFOMJ
5356 = RogueModifierUpdateNotify  // obf: DMHDLBHJKOG
5360 = RogueModifierSelectCellScRsp  // obf: GIMJFGIPDKI
5375 = RogueModifierSelectCellCsReq  // obf: FBEHJJBBLPL
5383 = RogueModifierDelNotify  // obf: OCJPKEMHEFF
5407 = GetChessRogueStoryInfoCsReq  // obf: FDPNKOKGEAP
5410 = ChessRogueChangeAeonDimensionNotify  // obf: LLBHIMCMMEH
5415 = ChessRogueCheatRollScRsp  // obf: FANIODAOCGG
5416 = GetChessRogueStoryInfoScRsp  // obf: JILFBOOFKEO
5417 = ChessRogueNousGetRogueTalentInfoCsReq  // obf: JCLGDGOJJLL
5419 = ChessRogueLeaveScRsp  // obf: JCEAEOGFAAA
5422 = ChessRogueEnterNextLayerScRsp  // obf: NCMNJNNOLLM
5423 = SelectChessRogueSubStoryCsReq  // obf: LAFMDBBAJHA
5424 = ChessRogueUpdateMoneyInfoScNotify  // obf: KAIMCDOLBHO
5426 = ChessRogueStartCsReq  // obf: AECEEKDICHA
5427 = ChessRogueSkipTeachingLevelCsReq  // obf: LOIBKAPDBMM
5432 = ChessRogueConfirmRollScRsp  // obf: LJOLPAOHPBJ
5433 = EnterChessRogueAeonRoomCsReq  // obf: NGIELFOIPHH
5435 = ChessRogueQueryScRsp  // obf: NAPNODDGMMI
5437 = ChessRogueEnterCsReq  // obf: KFFNAEDMDOD
5438 = ChessRogueNousDiceSurfaceUnlockNotify  // obf: DFBBBKADPDI
5447 = ChessRogueEnterNextLayerCsReq  // obf: LACJDDFOPHD
5449 = GBDPDGAHPNK
5451 = SyncChessRogueNousValueScNotify  // obf: MIAFPKGAMOM
5452 = BEAFKDMJNLO
5453 = ChessRogueReRollDiceScRsp  // obf: HCGCPKLMKJN
5454 = ChessRogueNousGetRogueTalentInfoScRsp  // obf: IHHJCBBEAGP
5462 = ChessRogueLeaveCsReq  // obf: HODPOGNIOOG
5464 = ChessRogueQuitCsReq  // obf: HAHPBCACNDG
5468 = ChessRogueEnterCellCsReq  // obf: FPFBPLPIADI
5469 = EnhanceRogueBuffScRsp  // obf: JDKJBGGHDBM
5471 = ChessRogueStartScRsp  // obf: IBJJCCDDFLE
5472 = ChessRogueQuitScRsp  // obf: POCJJMEJDGG
5474 = FOAGKOAJEMD
5476 = ChessRogueReRollDiceCsReq  // obf: NHILCEBCOJJ
5477 = ChessRogueUpdateDicePassiveAccumulateValueScNotify  // obf: MKOHCHDMNOB
5483 = ChessRogueEnterScRsp  // obf: CFIJCNENKDP
5484 = EnhanceRogueBuffCsReq  // obf: PBILBBMINBI
5485 = FinishChessRogueSubStoryCsReq  // obf: LBAKHMJIAEC
5487 = OKMIJLHMGCD
5488 = ChessRogueSkipTeachingLevelScRsp  // obf: ALDJHCDPJDH
5489 = GetChessRogueNousStoryInfoCsReq  // obf: PCFHMPGKDBD
5491 = ChessRogueSelectCellScRsp  // obf: BGLOEBBLFMI
5493 = ChessRogueUpdateDiceInfoScNotify  // obf: ECNICHNKEGG
5499 = SyncChessRogueNousSubStoryScNotify  // obf: IFOFLHFKMKB
5501 = ChessRogueUpdateUnlockLevelScNotify  // obf: LGHPBNIKMGI
5503 = IACEIJKMLLN
5505 = ChessRogueNousDiceUpdateNotify  // obf: GAJPFLOMGEP
5510 = ChessRogueUpdateActionPointScNotify  // obf: BFAEGAJHHKH
5511 = GetChessRogueStoryAeonTalkInfoScRsp  // obf: LGGIDOJJDCN
5513 = ChessRogueQuestFinishNotify  // obf: BGEBFHKCINE
5514 = ChessRogueGiveUpScRsp  // obf: JFKGEOBIHHD
5516 = SelectChessRogueSubStoryScRsp  // obf: NLMIDIGAMEL
5523 = GetChessRogueNousStoryInfoScRsp  // obf: LLELJOADLPI
5525 = EnterChessRogueAeonRoomScRsp  // obf: GPEOIKKBNPG
5526 = SyncChessRogueNousMainStoryScNotify  // obf: FAKMBJPPIIB
5533 = ChessRogueCheatRollCsReq  // obf: PJFHPHPOIHI
5534 = ChessRogueSelectCellCsReq  // obf: MBJCCOCANEJ
5535 = ChessRogueRollDiceScRsp  // obf: OJIELKBDPGB
5536 = ChessRogueEnterCellScRsp  // obf: HJOPCPPJCHP
5540 = ChessRogueLayerSettlement  // obf: MDELKPPJIGF
5547 = ChessRogueQueryCsReq  // obf: KKECAFGMONA
5549 = FinishChessRogueSubStoryScRsp  // obf: NNAGIDCACGI
5551 = ChessRogueUpdateAllowedSelectCellScNotify  // obf: LLBOLICFOEA
5552 = ChessRogueConfirmRollCsReq  // obf: PGBFGLJFLLP
5553 = ChessRogueNousEnableRogueTalentCsReq  // obf: AJCICECLDKJ
5554 = DJHNHHCMKMF
5557 = ChessRogueNousEnableRogueTalentScRsp  // obf: GGGFNBNGIIP
5561 = ChessRogueGiveUpCsReq  // obf: OMNAOBAFFOM
5564 = ChessRogueRollDiceCsReq  // obf: BGJIIBNDFEJ
5569 = ChessRogueUpdateReviveInfoScNotify  // obf: AAGLNICHNPI
5573 = ChessRogueUpdateAeonModifierValueScNotify  // obf: IBIAJJCMNKO
5578 = LOINLLCCNBD
5580 = ChessRogueCellUpdateNotify  // obf: OHKCDFGPCKM
5589 = SyncChessRogueMainStoryFinishScNotify  // obf: NJBNBKMNBOP
5598 = ChessRogueUpdateLevelBaseInfoScNotify  // obf: GBHDIMGDPJG
5599 = GetChessRogueStoryAeonTalkInfoCsReq  // obf: EJPCHNDAMLH
5600 = ChessRogueNousEditDiceScRsp  // obf: LJBHHFGLKPD
5605 = DCADHJHJMMD
5607 = MCHIJNKKOAM
5608 = CEDCDDPHBOG
5609 = RogueWorkbenchGetInfoCsReq  // obf: KIFALDPCHGB
5614 = GetRogueCommonDialogueDataScRsp  // obf: KIFHJJILCHH
5615 = LECIGPPCMAB
5616 = GetRogueShopBuffInfoCsReq  // obf: MJCPFFDLGGC
5624 = TakeEventHandbookRewardCsReq  // obf: OJGOBCCMHOH
5625 = LNKEEAKFEHM
5626 = JLJNNPIAKGH
5627 = RogueWorkbenchGetInfoScRsp  // obf: EOKICOIMEPH
5628 = SetRogueCollectionScRsp  // obf: GDLCKAFPJCI
5630 = TakeRogueMiracleHandbookRewardScRsp  // obf: ABAJJKIIFBG
5631 = LPDPAJGFBMM
5634 = PJFPIPIPOJN
5636 = SelectRogueCommonDialogueOptionCsReq  // obf: KPDMLEELICE
5637 = SetRogueCollectionCsReq  // obf: COFMBMIJHNB
5639 = MJEPCLPMKKI
5640 = GetRogueHandbookDataScRsp  // obf: CNOFLEBNGAC
5641 = TakeRogueMiracleHandbookRewardCsReq  // obf: MBNKNCDIJLD
5642 = BuyRogueShopBuffScRsp  // obf: DCAEIHGJFDE
5644 = CommonRogueUpdateScNotify  // obf: OKPPACPGJIO
5646 = BIHACLHMAKO
5647 = SyncRogueCommonActionResultScNotify  // obf: FACMJBCOHBP
5650 = SetRogueExhibitionCsReq  // obf: ILCJAJBPOMO
5653 = CommonRogueQueryScRsp  // obf: NHLDNOOFHCI
5654 = GetRogueShopFormulaInfoScRsp  // obf: GFGLECFFFLG
5655 = RogueDoGambleScRsp  // obf: NOCJKPILNMP
5656 = BuyRogueShopMiracleCsReq  // obf: MKNBFMJGKBM
5657 = HandleRogueCommonPendingActionScRsp  // obf: LEFAKCMDGNB
5658 = GetRogueShopBuffInfoScRsp  // obf: APCHMPGJGGC
5659 = RogueShopBeginBattleCsReq  // obf: MPDDBHDFJKH
5660 = GetRogueShopMiracleInfoScRsp  // obf: DDHJFDPBPAA
5661 = GKNPEGHPCMH
5662 = GetRogueCommonDialogueDataCsReq  // obf: BBILDBEOKIK
5665 = RogueDoGambleCsReq  // obf: JGHALBFPDLO
5666 = RogueGetGambleInfoCsReq  // obf: KEMPKDDHEFN
5667 = CommonRogueVirtualItemInfoScNotify  // obf: FDFGDPBEKCJ
5668 = CKPKIINILKA
5670 = SyncRogueCommonPendingActionScNotify  // obf: DLNANAEDDEE
5672 = BuyRogueShopMiracleCsReq  // obf: OMAOGCPKDNB
5674 = BuyRogueShopFormulaScRsp  // obf: PFJKHHMEOGH
5675 = GetRogueShopMiracleInfoCsReq  // obf: CICKIFGMKPF
5676 = OFEDNNJIJFL
5677 = SelectRogueCommonDialogueOptionScRsp  // obf: HDDJBPIOCMC
5679 = SyncRogueHandbookDataUpdateScNotify  // obf: FFFCJNFIDLO
5680 = FLCPMJGCHID
5683 = BuyRogueShopMiracleScRsp  // obf: DLJLBCGBOCB
5684 = GetRogueHandbookDataCsReq  // obf: MJNKKPCCBMP
5685 = EDBOGEKADGP
5686 = RogueGetGambleInfoScRsp  // obf: LIOHNCDIAPM
5687 = SyncRogueCommonDialogueOptionFinishScNotify  // obf: HDIICGMJNBO
5689 = RogueShopBeginBattleScRsp  // obf: PBFEGMDAIDN
5690 = GetRogueShopFormulaInfoCsReq  // obf: JIKKKPKEFMH
5691 = SyncRogueCommonDialogueDataScNotify  // obf: NJPGOAAALGJ
5695 = RogueWorkbenchHandleFuncScRsp  // obf: DPGLHPGGPHM
5696 = TakeEventHandbookRewardScRsp  // obf: LMCDLJJFGKE
5697 = CommonRogueQueryCsReq  // obf: BGDHGALEOIK
5699 = SetRogueExhibitionScRsp  // obf: IDCEKOBEEFI
5700 = RogueWorkbenchHandleFuncCsReq  // obf: FPNMBONIFEB
5705 = SyncBattleCollegeDataChangeScNotify  // obf: MIIIAIEGEKM
5725 = GetBattleCollegeDataScRsp  // obf: JOIAADCLOGF
5734 = GetBattleCollegeDataCsReq  // obf: LNFGDEAIHNL
5760 = StartBattleCollegeScRsp  // obf: CHKPEKJFPFD
5775 = StartBattleCollegeCsReq  // obf: FDFHMOKCNLB
5804 = HeliobusStartRaidScRsp  // obf: AOGJGJKGECJ
5805 = HeliobusSnsReadCsReq  // obf: FBGAKELNFDP
5808 = HeliobusUpgradeLevelScRsp  // obf: IMCAMOHNKNK
5815 = HeliobusSnsCommentScRsp  // obf: HBNLILKKBFN
5816 = HeliobusSnsPostScRsp  // obf: NJMHBOMPING
5817 = HeliobusEnterBattleCsReq  // obf: ACEKIEKJFPA
5819 = HeliobusChallengeUpdateScNotify  // obf: JMIIKBEBJMC
5821 = HeliobusSelectSkillScRsp  // obf: EBFLACABCKO
5825 = HeliobusActivityDataScRsp  // obf: MNDPFKFEENO
5834 = HeliobusActivityDataCsReq  // obf: BJOAEPLGCND
5838 = HeliobusEnterBattleScRsp  // obf: FMJCABJPDHG
5839 = HeliobusInfoChangedScNotify  // obf: FMBJEANIAGI
5842 = HeliobusSnsUpdateScNotify  // obf: HNODHEJGACP
5856 = HeliobusSnsLikeScRsp  // obf: ABKNCPGFADC
5858 = HeliobusSnsLikeCsReq  // obf: DFALDMOKJEN
5860 = HeliobusSnsPostCsReq  // obf: MINGMOMGNEL
5861 = HeliobusUpgradeLevelCsReq  // obf: MHMHPNNMFCC
5864 = HeliobusSelectSkillCsReq  // obf: JFKCEEPDHCB
5868 = HeliobusUnlockSkillScNotify  // obf: KJBFKGBKJME
5875 = HeliobusSnsReadScRsp  // obf: JNMBGFOJNBD
5878 = HeliobusStartRaidCsReq  // obf: OFKLMBJJJPO
5883 = HeliobusSnsCommentCsReq  // obf: GOODKHEFJHJ
5885 = HeliobusLineupUpdateScNotify  // obf: KHODCLCAIIP
5906 = GetAllRedDotDataScRsp  // obf: ABPNLEGLEJF
5920 = NNCEFFFGNEN
5929 = ILDOMDOFEPK
5931 = UpdateRedDotDataScRsp  // obf: EGELHCKMLNK
5932 = GetSingleRedDotParamGroupScRsp  // obf: LLCOHLNBNGM
5934 = GetAllRedDotDataCsReq  // obf: HEMHDLMIKKA
5952 = FateShopLeaveScRsp  // obf: LIBBPNHIGAG
5954 = FateShopBuyGoodsScRsp  // obf: GMDDANCGGBL
5955 = FateTakeExpRewardScRsp  // obf: PNJAABBGEII
5956 = FateQueryScRsp  // obf: DOFDHCNMNMJ
5957 = FateSyncActionResultScNotify  // obf: HCPNKGMBBIP
5958 = FateShopRefreshGoodsScRsp  // obf: OPABCPDGGAA
5961 = FateChangeLineupScRsp  // obf: GBOIDHOLFGH
5962 = FateTakeExpRewardCsReq  // obf: EFGLGFMMNJI
5964 = FateShopSellBuffScRsp  // obf: LBNKGCMFNCM
5966 = FateChangeLineupCsReq  // obf: OEMOJOKKKNL
5968 = FateHandlePendingActionCsReq  // obf: AMEFCGGAGGC
5969 = FateSyncPendingActionScNotify  // obf: OICAPCABFNK
5970 = FateStartCsReq  // obf: KMDNHNAEPBE
5971 = FateSettleScNotify  // obf: HLECBNECIJA
5973 = FateShopLeaveCsReq  // obf: JHOFKNCODLC
5975 = FateShopLockGoodsScRsp  // obf: JPNPDPIBNBB
5976 = FateShopBuyGoodsCsReq  // obf: IBECCHLNDFL
5979 = FateBattleStartCsReq  // obf: OGCKAGAMDJP
5981 = FateStartScRsp  // obf: KEMGFAPBFNL
5982 = FateBattleStartScRsp  // obf: HIEGKBMFNMJ
5984 = FateQueryCsReq  // obf: MFAGCMDGHPJ
5988 = FateHandlePendingActionScRsp  // obf: ILLBJPOBLLK
5989 = FateSettleScRsp  // obf: JOLGFGCFMAL
5990 = FateShopRefreshGoodsCsReq  // obf: HJFALMNEFDC
5992 = FateSettleCsReq  // obf: FGEMJLFIHHL
5997 = FateShopLockGoodsCsReq  // obf: OPHOEIDJDMO
5998 = FateShopSellBuffCsReq  // obf: BPFLBBKOPNN
6001 = TakeRogueEndlessActivityAllBonusRewardScRsp  // obf: DIGOHHNDDCA
6002 = GetRogueEndlessActivityDataCsReq  // obf: KCEFGNINEBG
6003 = GetRogueEndlessActivityDataScRsp  // obf: NKNPAOHOGHI
6004 = RogueEndlessActivityBattleEndScNotify  // obf: IGOFLPJHHAO
6005 = TakeRogueEndlessActivityPointRewardScRsp  // obf: OGDDOAIIMPG
6007 = TakeRogueEndlessActivityPointRewardCsReq  // obf: ALBOKFLDIIH
6008 = TakeRogueEndlessActivityAllBonusRewardCsReq  // obf: GHDBOHHNOME
6009 = EnterRogueEndlessActivityStageScRsp  // obf: AKINJCDPGIF
6010 = EnterRogueEndlessActivityStageCsReq  // obf: FFDJLHCAKAP
6013 = RogueTournGetAllBuildRefCsReq  // obf: ELDONCLGHPO
6014 = RogueTournLeaveCsReq  // obf: OAEMCMCGPID
6015 = RogueTournReviveCostUpdateScNotify  // obf: NMCIFMBGOLP
6017 = RogueTournQueryScRsp  // obf: JNAKFEHIMFM
6018 = RogueTournStartCsReq  // obf: DFNGEOHAHGM
6019 = RogueTournEnterRoomScRsp  // obf: DOEONJEAGPA
6020 = RogueTournGetArchiveRepositoryScRsp  // obf: GINKCKNPFDA
6021 = RogueTournResetPermanentTalentCsReq  // obf: DEBMBMMMCGG
6022 = RogueTournEnterScRsp  // obf: NAGABJLKFON
6023 = RogueTournGetCurRogueCocoonInfoCsReq  // obf: HHKCBNKJELL
6024 = RogueTournBattleFailSettleInfoScNotify  // obf: JFDAMIHLMLF
6025 = RogueTournLevelInfoUpdateScNotify  // obf: NLIOPBPOBHB
6026 = RogueTournReviveAvatarCsReq  // obf: JHDKGCPHDNC
6027 = RogueTournRenameArchiveCsReq  // obf: MMKDJEFGBNC
6028 = RogueTournUseSuperRewardKeyCsReq  // obf: ACFNGBKOIDN
6029 = RogueTournQueryCsReq  // obf: KGGIFOABIDF
6031 = RogueTournGetAllArchiveScRsp  // obf: CANHNOJACGI
6032 = RogueTournSettleCsReq  // obf: IDCDOCPNPMD
6033 = RogueTournGetCurRogueCocoonInfoScRsp  // obf: FNBJGDHOIBP
6034 = RogueTournEnterRogueCocoonSceneScRsp  // obf: IOJFJPFJINM
6035 = RogueTournEnableSeasonTalentScRsp  // obf: LCEDCPLAPJJ
6036 = RogueTournReEnterRogueCocoonStageScRsp  // obf: KGHGKLIAKLL
6037 = RogueTournHandBookNotify  // obf: ICIJOIFOIIG
6038 = RogueTournDeleteBuildRefCsReq  // obf: OGKOAHJCBAF
6039 = RogueTournDeleteArchiveCsReq  // obf: GOOILNEKEMG
